symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,mape_pct,log_loss
BTCUSDT,1d,365 days ago UTC,16,hybrid_transformer,303,time,0.2,,direction,0.0,0.5166666666666667,0.53125,0.5483870967741935,0.5396825396825397,0.5539488320355951,"[[14, 15], [14, 17]]",0.58,8,0.625,0.0008789029971110179,0.006591772478332634,0.05356200496490371,3.9234946198373333,2.2750984979410283,0.002,,,,0.6891439711178554
BTCUSDT,1d,365 days ago UTC,16,voting_soft,318,time,0.2,,direction,0.0,0.5555555555555556,0.6086956521739131,0.42424242424242425,0.5,0.5838383838383838,"[[21, 9], [19, 14]]",0.54,19,0.631578947368421,0.0016375023719420194,0.005429613128018275,0.10687138613958758,4.405133338195807,1.341359873302274,0.002,,,,0.686822985760235
BTCUSDT,1d,365 days ago UTC,16,stacking,318,time,0.2,,direction,0.0,0.4444444444444444,0.4782608695652174,0.6666666666666666,0.5569620253164557,0.42424242424242425,"[[6, 24], [11, 22]]",0.59,4,0.75,0.0007908853123991078,0.01245644367028595,0.05044131567937238,3.4221908677123567,124564436702.8595,0.002,,,,0.7055689350424744
BTCUSDT,1d,365 days ago UTC,16,arima,318,time,0.2,,direction,0.0,0.5238095238095238,0.5238095238095238,1.0,0.6875,0.5171717171717172,"[[0, 30], [0, 33]]",0.625,1,1.0,0.000354203676666535,0.022314831629991705,0.022314831629991705,2.407000372590498,,0.002,,,,0.7130835357143204
BTCUSDT,4h,720 days ago UTC,16,logreg,4273,time,0.2,,direction,0.0,0.49414519906323184,0.49414519906323184,1.0,0.6614420062695925,0.5245578813410567,"[[0, 432], [0, 422]]",0.52,0,,0.0,,0.0,,,0.002,,,,0.6943904420228415
BTCUSDT,4h,720 days ago UTC,16,sgdlog,4273,time,0.2,,direction,0.0,0.49414519906323184,0.49414519906323184,1.0,0.6614420062695925,0.5214257503949447,"[[0, 432], [0, 422]]",0.53,0,,0.0,,0.0,,,0.002,,,,0.6954522254893332
BTCUSDT,4h,720 days ago UTC,16,rf,4273,time,0.2,,direction,0.0,0.4918032786885246,0.49166666666666664,0.8388625592417062,0.6199649737302977,0.5144209671757065,"[[66, 366], [68, 354]]",0.675,0,,0.0,,0.0,,,0.002,,,,0.6982070673997185
BTCUSDT,4h,720 days ago UTC,16,hgb,4273,time,0.2,,direction,0.0,0.5105386416861827,0.503968253968254,0.6018957345971564,0.5485961123110151,0.5044074732315253,"[[182, 250], [168, 254]]",0.85,11,0.6363636363636364,2.5732988299680615e-05,0.001997815637084295,0.0220622966727424,2.004921741068626,0.7025211927515407,0.002,,,,0.7335521239399129
BTCUSDT,4h,720 days ago UTC,16,linsvc,4273,time,0.2,,direction,0.0,0.49414519906323184,0.49414519906323184,1.0,0.6614420062695925,0.5156579120589784,"[[0, 432], [0, 422]]",0.53,0,,0.0,,0.0,,,0.002,,,,0.6954520353625535
BTCUSDT,4h,720 days ago UTC,16,bilstm,4258,time,0.2,,direction,0.0,0.5064629847238543,0.5006765899864682,0.8788598574821853,0.6379310344827587,0.49810528641661594,"[[61, 369], [51, 370]]",0.605,8,0.25,5.450487966095931e-06,0.0005797956573934549,0.0045103129002053155,0.44587386894696734,0.26727716350882064,0.002,,,,0.699514979952583
